userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
65342,Content-Based,5,0.0,0.0,0.0,0.0,59,3,20
65342,Content-Based,10,0.0,0.0,0.0,0.0,59,3,20
65342,Content-Based,20,0.0,0.0,0.0,0.0,59,3,20
39724,Content-Based,5,0.0,0.0,0.0,0.0,84,17,20
39724,Content-Based,10,0.0,0.0,0.0,0.0,84,17,20
39724,Content-Based,20,0.0,0.0,0.0,0.0,84,17,20
81571,Content-Based,5,0.2,0.020833333333333332,1.0,0.03773584905660377,306,48,20
81571,Content-Based,10,0.2,0.041666666666666664,1.0,0.06896551724137931,306,48,20
81571,Content-Based,20,0.1,0.041666666666666664,1.0,0.058823529411764705,306,48,20
10089,Content-Based,5,0.0,0.0,0.0,0.0,256,27,20
10089,Content-Based,10,0.0,0.0,0.0,0.0,256,27,20
10089,Content-Based,20,0.0,0.0,0.0,0.0,256,27,20
145871,Content-Based,5,0.0,0.0,0.0,0.0,94,15,20
145871,Content-Based,10,0.0,0.0,0.0,0.0,94,15,20
145871,Content-Based,20,0.05,0.06666666666666667,1.0,0.05714285714285715,94,15,20
90566,Content-Based,5,0.0,0.0,0.0,0.0,153,29,20
90566,Content-Based,10,0.0,0.0,0.0,0.0,153,29,20
90566,Content-Based,20,0.0,0.0,0.0,0.0,153,29,20
80308,Content-Based,5,0.2,0.1,1.0,0.13333333333333333,55,10,20
80308,Content-Based,10,0.1,0.1,1.0,0.10000000000000002,55,10,20
80308,Content-Based,20,0.05,0.1,1.0,0.06666666666666667,55,10,20
189182,Content-Based,5,0.0,0.0,0.0,0.0,96,13,20
189182,Content-Based,10,0.0,0.0,0.0,0.0,96,13,20
189182,Content-Based,20,0.0,0.0,0.0,0.0,96,13,20
175487,Content-Based,5,0.0,0.0,0.0,0.0,50,10,20
175487,Content-Based,10,0.0,0.0,0.0,0.0,50,10,20
175487,Content-Based,20,0.0,0.0,0.0,0.0,50,10,20
32135,Content-Based,5,0.0,0.0,0.0,0.0,32,3,20
32135,Content-Based,10,0.0,0.0,0.0,0.0,32,3,20
32135,Content-Based,20,0.0,0.0,0.0,0.0,32,3,20
69579,Content-Based,5,0.0,0.0,0.0,0.0,35,7,20
69579,Content-Based,10,0.0,0.0,0.0,0.0,35,7,20
69579,Content-Based,20,0.0,0.0,0.0,0.0,35,7,20
127279,Content-Based,5,0.0,0.0,0.0,0.0,36,7,20
127279,Content-Based,10,0.0,0.0,0.0,0.0,36,7,20
127279,Content-Based,20,0.0,0.0,0.0,0.0,36,7,20
60001,Content-Based,5,0.0,0.0,0.0,0.0,874,39,20
60001,Content-Based,10,0.0,0.0,0.0,0.0,874,39,20
60001,Content-Based,20,0.0,0.0,0.0,0.0,874,39,20
42502,Content-Based,5,0.0,0.0,0.0,0.0,80,11,20
42502,Content-Based,10,0.0,0.0,0.0,0.0,80,11,20
42502,Content-Based,20,0.0,0.0,0.0,0.0,80,11,20
164604,Content-Based,5,0.0,0.0,0.0,0.0,68,8,20
164604,Content-Based,10,0.0,0.0,0.0,0.0,68,8,20
164604,Content-Based,20,0.0,0.0,0.0,0.0,68,8,20
194785,Content-Based,5,0.0,0.0,0.0,0.0,185,36,20
194785,Content-Based,10,0.0,0.0,0.0,0.0,185,36,20
194785,Content-Based,20,0.0,0.0,0.0,0.0,185,36,20
141969,Content-Based,5,0.0,0.0,0.0,0.0,384,43,20
141969,Content-Based,10,0.0,0.0,0.0,0.0,384,43,20
141969,Content-Based,20,0.0,0.0,0.0,0.0,384,43,20
195919,Content-Based,5,0.0,0.0,0.0,0.0,53,4,20
195919,Content-Based,10,0.0,0.0,0.0,0.0,53,4,20
195919,Content-Based,20,0.0,0.0,0.0,0.0,53,4,20
150206,Content-Based,5,0.0,0.0,0.0,0.0,34,3,20
150206,Content-Based,10,0.0,0.0,0.0,0.0,34,3,20
150206,Content-Based,20,0.0,0.0,0.0,0.0,34,3,20
197099,Content-Based,5,0.0,0.0,0.0,0.0,19,2,20
197099,Content-Based,10,0.0,0.0,0.0,0.0,19,2,20
197099,Content-Based,20,0.0,0.0,0.0,0.0,19,2,20
28501,Content-Based,5,0.0,0.0,0.0,0.0,26,4,20
28501,Content-Based,10,0.0,0.0,0.0,0.0,26,4,20
28501,Content-Based,20,0.0,0.0,0.0,0.0,26,4,20
55886,Content-Based,5,0.0,0.0,0.0,0.0,259,37,20
55886,Content-Based,10,0.0,0.0,0.0,0.0,259,37,20
55886,Content-Based,20,0.0,0.0,0.0,0.0,259,37,20
72337,Content-Based,5,0.0,0.0,0.0,0.0,230,16,20
